Código del Proyecto/Requerimiento	Nombre del Proyecto/Requerimiento	Product Owner	Scrum Master	Origen del Requerimiento	Código de la Historia	Nombre de la Historia	Versión de la Historia	Fecha de Declaración	Prioridad	Estimación de Esfuerzo	Historia de Usuario Dependencia	Tipo de Dependencia	Declaración - Yo como	Declaración - Quiero	Declaración - Para	Criterios de Aceptación	Detalles de la Conversación
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Construcción inicial y arquitectura	HU01	Configurar arquitectura base del proyecto	1.0	2026-08-03	Crítica	4	No aplica	No aplica	líder técnico de JHOMERON	configurar la arquitectura base del proyecto (repositorios, ambientes, esquemas de BD, contenedores, variables de entorno y herramientas)	construir JHOMERON desde cero sobre una base sólida, reproducible y segura	1. Dado que inicio la construcción desde cero, cuando configure el repositorio y los ambientes (local, dev, neon, prod), entonces el proyecto debe quedar reproducible con una guía de arranque clara. | 2. Dado que se aplique la base de datos, cuando ejecute los esquemas (staging, modelo estrella dwh.*, vistas ai.*), entonces deben crearse sin errores y con permisos mínimos (rol ai_readonly). | 3. Dado que un nuevo integrante del equipo ingrese, cuando siga la guía de arranque, entonces debe poder levantar batch, AI, ML y frontend sin configuración manual oculta.	Base del código para las capas del proyecto: Angular (frontend), Spring Batch (ETL), FastAPI (AI Service), FastAPI/ML (inteligencia) y PostgreSQL (local/Neon). Incluye esquemas de seguridad, variables de entorno y el README raíz como guía de arranque.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Gestión y seguridad de usuarios	HU02	Gestionar usuarios	1.0	2026-08-05	Crítica	3	No aplica	No aplica	administrador de JHOMERON	gestionar los usuarios y sus roles	mantener un acceso seguro y administrar los permisos de la plataforma	1. Dado que soy administrador, cuando registre, edite o desactive un usuario, entonces JHOMERON debe guardar el cambio y confirmar la operación. | 2. Dado que un usuario está desactivado, cuando intente iniciar sesión, entonces el sistema debe impedir el acceso.	Módulo de autenticación y administración. Considerar roles, estado del usuario y trazabilidad básica.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Gestión y seguridad de usuarios	HU03	Visualizar menú según rol	1.0	2026-08-10	Crítica	2	HU02	Funcional	usuario autenticado	visualizar un menú según mi rol	acceder a las funciones correspondientes a mis permisos	1. Dado que inicio sesión con un rol válido, cuando acceda a JHOMERON, entonces debe mostrar las opciones autorizadas para ese rol. | 2. Dado que una opción no está autorizada, cuando intente acceder directamente, entonces el sistema debe bloquear el acceso.	Aplicar autorización basada en roles para las vistas de Gerencia, Ventas, administración y funciones de IA.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Gestión y seguridad de usuarios	HU04	Consultar información de sesión	1.0	2026-08-11	Alta	1	HU02	Funcional	usuario autenticado	consultar la información de mi sesión	verificar mi cuenta y el contexto de acceso	1. Dado que tengo una sesión activa, cuando consulte mi perfil, entonces debe mostrar usuario, rol y último acceso. | 2. Dado que mi sesión haya expirado, cuando intente consultar información protegida, entonces debe solicitar nuevamente el inicio de sesión.	Mostrar información mínima de la sesión y mantener control de expiración.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Gestión comercial	HU05	Consultar clientes	1.0	2026-08-25	Alta	3	No aplica	No aplica	usuario de ventas	consultar los clientes registrados	consultar información comercial de los clientes	1. Dado que existen clientes, cuando consulte el módulo de clientes, entonces debe mostrar los registros disponibles con filtros y paginación. | 2. Dado que aplique un filtro, cuando confirme la búsqueda, entonces el listado debe mostrar únicamente los clientes coincidentes.	El módulo debe servir como consulta comercial y soportar filtros/paginación.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Gestión comercial	HU07	Consultar ventas	1.0	2026-09-03	Alta	3	HU05	Datos	usuario de ventas	consultar las ventas por período	analizar el comportamiento de las ventas	1. Dado que existen ventas cargadas, cuando seleccione un período, entonces debe mostrar las ventas correspondientes. | 2. Dado que no existan ventas para los filtros seleccionados, entonces debe informar que no se encontraron resultados.	La consulta debe alimentarse de los datos integrados y permitir análisis por período.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Dashboard de ventas	HU06	Visualizar indicadores de ventas	1.0	2026-09-14	Crítica	3	HU07	Funcional	gerente de ventas	visualizar los principales indicadores de ventas	evaluar rápidamente el desempeño comercial	1. Dado que existen datos de ventas, cuando ingrese al dashboard, entonces debe mostrar los KPI definidos para JHOMERON. | 2. Dado que cambie el período, entonces los indicadores y gráficos deben actualizarse con los nuevos datos.	KPI sugeridos: ventas totales, cantidad de ventas, ticket promedio y variación frente al período anterior.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Dashboard de ventas	HU08	Analizar ventas por producto y categoría	1.0	2026-09-16	Alta	2	HU07	Funcional	analista de ventas	analizar las ventas por producto y categoría	identificar productos, categorías y oportunidades de negocio	1. Dado que consulto ventas, cuando seleccione producto o categoría, entonces los gráficos y totales deben actualizarse. | 2. Dado que aplique varios filtros, entonces el análisis debe considerar todos los filtros activos.	Permitir segmentar por producto y categoría para apoyar el análisis comercial.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Dashboard gerencial	HU09	Visualizar dashboard ejecutivo	1.0	2026-09-18	Crítica	4	HU06	Funcional	gerente de JHOMERON	visualizar un dashboard ejecutivo consolidado	tomar decisiones con una visión general del negocio	1. Dado que existen datos consolidados, cuando ingrese al dashboard gerencial, entonces debe visualizar KPI y gráficos relevantes para la toma de decisiones. | 2. Dado que seleccione un indicador, entonces debe poder consultar el detalle que lo sustenta.	Dashboard orientado a gerencia con resumen de ventas, tendencias y principales indicadores.
JHOMERON-2026	JHOMERON Business Management	Gerencia JHOMERON	Equipo de Desarrollo JHOMERON	Dashboard gerencial	HU10	Visualizar tendencias de ventas	1.0	2026-09-28	Alta	3	HU09	Funcional	gerente de JHOMERON	visualizar las tendencias históricas de ventas	identificar crecimiento, disminución y estacionalidad	1. Dado que existe histórico de ventas, cuando seleccione un período, entonces debe visualizar la evolución de las ventas. | 2. Dado que compare períodos, entonces debe mostrar la variación entre ellos.	Mostrar series temporales y comparación de períodos para identificar tendencias y estacionalidad.
