cliente,producto,cantidad,fechaPedido
CONSTRUCTORA DEL NORTE,PINTURA LATEX BLANCO 20L,50,2026-08-01
PINTURAS ALTO VALOR,PINTURA SINTETICA ROJO 10L,30,2026-08-02
DISTRIBUIDORA CENTRAL,PINTURA ESMALTE AZUL 5L,100,2026-08-03
FERRETERIA SAN JOSE,PINTURA LATEX BEIGE 4L,200,2026-08-04
CONSTRUCTORAS UNIDAS,PINTURA ANTICORROSIVA GRIS 20L,25,2026-08-05
MAESTROS PINTORES,PINTURA LATEX VERDE 10L,75,2026-08-06
GRUPO CONSTRUCTIVO XYZ,PINTURA TEXTURIZADA BLANCO 15L,40,2026-08-07
FERRETERIA EL MARTILLO,PINTURA LATEX CREMA 4L,150,2026-08-08
DISTRIBUIDORA SUR,PINTURA SINTETICA NEGRO 10L,60,2060-08-09
CONSTRUCCIONES DEL PACIFICO,PINTURA ESMALTE VERDE 5L,80,2026-08-10
PINTURAS MAGICAS,PINTURA LATEX GRIS 20L,35,2026-08-11
TALLERES AUTOMOTRICES,PINTURA AUTOMOTRIZ ROJO 1L,500,2026-08-12
PROYECTOS INMOBILIARIOS,PINTURA LATEX BLANCO 10L,120,2026-08-13
FERRETERIA LA CASA,PINTURA ANTICORROSIVA BLANCO 5L,90,2026-08-14
CONSTRUCTORAS DEL SUR,PINTURA ESMALTE AMARILLO 10L,45,2026-08-15
DISTRIBUIDORA NORTE,PINTURA LATEX AZUL 4L,180,2026-08-16
GRUPO ARQUITECTOS,PINTURA TEXTURIZADA GRIS 15L,55,2026-08-17
FERRETERIA EL CLAVO,PINTURA SINTETICA BLANCO 10L,70,2026-08-18
MAESTROS DEL COLOR,PINTURA LATEX ROJO 10L,85,2026-08-19
CONSTRUCCIONES INTEGRALES,PINTURA ESMALTE NEGRO 5L,65,2026-08-20
